工作内容,计划时间,记录名称,记录要求,备注
设备房间（保护室、通信室、自动化室）空调调整,每月1日,/,需在PMS3.0系统运维作业-其他-空调检查及轮换中作好记录,1月-2月，空调设为除湿模式，温度设置为20度；每个设备房间开启一半空调，开启的空调在室内对称的位置上；3月-4月，空调设为制冷模式，温度设置为22度，每个设备房间开启一半空调，开启的空调在室内对称的位置上；5月-10月，空调设为制冷模式，温度设置为22度，每个设备房间开启全部空调（应急空调不开）；11月-12月，空调设为制冷模式，温度设置为22度，每个设备房间开启一半空调，开启的空调在室内对称的位置上
上月操作票整理装订,每月2日,/,/,每月10日前运维站签审后交回中心运维专责处（蒋海军）
一次设备端子箱、汇控箱、智能汇控柜、主变汇控箱、分控箱、断路器机构箱、动力箱开箱检查，箱内加热器、除湿机及照明检查维护（刀闸机构箱除外）,每月的1、3、5、16、18、20日,机构箱、端子箱、汇控柜等的加热器及照明标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-机构箱、端子箱、汇控柜等加热吸湿中作好记录，记录需写明本值完成的是具体哪个电压等级的设备箱体,开箱所要开展的工作：1.清扫箱体内二次线、空开、除湿机等元件，箱体四防材料上的灰层、蛛网、草屑、蚊虫尸体。2.检查维护箱内除湿机、加热器使其工作正常。3.检查维护更换箱内照明设备。4.若箱体有凝露需清擦干净。5.检查维护箱体内的脱湿片，湿的脱湿片需晾晒干后再使用。6.检查维护箱门及锁具，保证能正常开闭，无法处理的统计上报车间。
防寒、防潮检查,每年的1、2、3、10、11、12月的1、3、5日,防风、防寒、防潮检查记录薄（纸质）,纸质及PMS3.0系统运维作业-其他-防风、防寒、防潮、防毒、防高温检查维护中作好记录（记录中备注：防寒、防潮检查）,结合当月各值的开箱检查一并进行
排水、通风系统检查试验维护,每月5日,排水、通风系统检查、维护标准化作业指导卡,需在PMS3.0系统运维作业-其他-站用供水系统、排水系统检查、维护和设备室通风系统维护、风机故障检查消缺中分别作好记录,/
设备铭牌等标识维护、更换，围栏、警示牌等安全设施检查维护,每月5日,设备铭牌等标识维护、更换，围栏、警示牌等安全设施检查维护工作标准化作业卡,需在PMS3.0系统运维作业-设备维护-设备铭牌等标识维护、更换中作好记录,/
防风检查,每月5日,防风、防寒、防潮检查记录薄（纸质）,纸质及PMS3.0系统运维作业-其他-防风、防寒、防潮、防毒、防高温检查维护中作好记录（记录中备注：防风检查）,/
校对保护装置、故障录波、后台机、录音系统时钟（与GPS时钟校对）,每月7日,全站装置、系统时钟核对维护检查标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-全站各装置、系统时钟核对中作好记录,需注意消防类装置、工业视频、安防视频装置、站用电室380伏监测装置
继保装置打印机维护和缺陷处理（补充打印机纸张）,每月7日,/,需在PMS3.0系统运维作业-其他-微机保护装置打印机检查维护中作好记录,/
继保装置保护差流检查、通道检查,每月7日,各站编制的保护差流检查、通道检查记录表（纸质）,需在PMS3.0系统运维作业-设备维护-保护差流检查、通道检查中作好记录,差流检查表中每个回路需填写装置实际显示的差流值
全站压板、切换开关位置核对,1/4/7/10月 7日,各站编制的全站压板核对记录薄（纸质）,纸质及PMS3.0系统运维作业-设备维护-保护压板、切换开关位置检查中作好记录,/
与变电监控班核对设备运行方式；整理主控桌面电脑显示器、键盘、电话、打印机、解锁钥匙箱,每周六,/,需在PMS3.0系统运行值班-其他工作记录中作好记录,每次核对包括一次设备运行方式核对，异常光字信号核对并对监控后台进行清闪；整理主控桌面整理要求：显示器、键盘排列要整齐一致，电话（录音台、座机整齐一致，打印机、解锁钥匙箱规整一致）
调度录音电话（录音台）试打、检查,每周六,/,需在PMS3.0系统运行值班-其他工作记录中作好记录,当值运维人员用各站调度台录音电话与各级调度、监控班、管控班进行电话试打，检查调度录音电话正常
刀闸机构箱开箱检查，加热器、除湿机及照明检查维护,2/5/8/11月1日,机构箱、端子箱、汇控柜等的加热器及照明标准化作业指导卡,PMS3.0系统运行值班-值班日志-解锁钥匙使用、归还记录；PMS3.0系统运维作业-设备维护-机构箱、端子箱、汇控柜等加热吸湿中作好记录,需按照规定申请使用解锁钥匙；每年的5月开箱检查时关闭刀闸机构箱内的加热电源，每年的11月开箱检查时开启刀闸机构箱内的加热电源（具体时间由运维站当月拟定上报计划开箱，各站时间应措开，可结合变检一次专业巡视开展）。
消防器材检查、维护（灭火器检查清擦）,每月9日,消防器材、消防设施标准化作业指导卡,纸质及PMS3.0系统运维作业-设备维护-消防器材检查中作好记录,/
站内消防设施检查维护（包括消防系统、灭火弹水喷淋、充氮、泡沫等灭火系统）,1/4/7/10月9日,消防器材、消防设施标准化作业指导卡,纸质及PMS3.0系统运维作业-设备维护-消防设施检查维护中作好记录,/
变电站室内、外（普通）照明系统检查、试验、维护,1/4/7/10月10日,变电站室内外照明系统维护标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-室内、外照明系统维护中作好记录,/
漏电保安器检查试验,1/4/7/10月10日,漏电保安器试验标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-漏电保安器试验中作好记录,/
接地螺栓及接地标志维护,4/10月10日,接地螺栓及接地标志维护标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-接地螺栓及接地标志维护中作好记录,/
配电箱、检修电源箱检查、维护,4/10月10日,配电箱、检修电源箱检查、维护标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-配电箱、检修电源箱检查、维护中作好记录,/
防汛设施检查维护：变电站电缆沟、排水沟、围墙外排水沟，污水泵、潜水泵、排水泵检查维护,2/5/8/11月10日,防汛物资、设施检查、试验、维护标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-排水系统、防汛物资及设施检查中作好记录,/
防火封堵检查维护；站区、屏柜、电缆层、电缆竖井及电缆沟封堵检查维护,3/9月10日,/,"需在PMS3.0系统运维作业-设备维护-高压室、电缆夹层、配电室、主控室等孔洞检查
中作好记录",/
保护定值打印核对,5月和11月1、3、5日,运维各站安排各值核对，现场打印定值单需签核对人姓名、核对时间，用夹子收捡后统一放在各站定值收纳箱中,需在PMS3.0系统运维作业-设备维护-保护及自动装置时钟核对、定值、采样值核对中作好记录,其中5月份的定值核对需按照市调下发的单子核对反馈，并在OMS系统中走完定值核对流程；11月份的定值核对无特殊要求外无需走OMS流程
站用交流电源系统的备自投装置切换试验,一季度1次；每年的3、6、9、11月的15日,站用交流电源系统的备自投装置切换标准化作业指导卡、操作票,需在PMS3.0系统运维作业-定期试验及轮换-站用交流电源系统的备自投装置切换检查中作好记录,各运维站请提前两周上报启动试验计划至中心；须两段备自投都要切换；如本季度已结合主变停电等进行了备用站用变代负荷操作，则在备用变代负荷当日完善相关记录，本季度不再上报开展。
备用站用变（一次侧不带电）启动试验,半年1次，每年的6月、11月15日,备用站用变启动试验标准化作业指导卡、操作票,需在PMS3.0系统运维作业-定期试验及轮换-备用站用变启动试验中作好记录,各运维站请提前两周上报启动试验计划至中心，每次带电运行不少于24小时；如在半年内已结合主变停电等进行了备用站用变代负荷运行且24小时以上，则在备用变代负荷当日完善相关记录。（上下半年内备用变应分别带不同的380V母线负荷）
避雷器动作次数、泄漏电流抄录,每月15日,避雷器动作次数、泄漏电流抄录维护标准化作业指导卡、,纸质及PMS3.0系统运维作业-设备维护-避雷器动作次数及泄漏电流检测中作好记录,雷雨后、避雷器预试和更换泄漏电流表后增加1次；纸质的避雷器动作专用记录作为运维人员现场抄录时使用，可不用保存
电缆沟巡视及测温,3/6/9/12月15日,红外测温标准化作业指导卡,PMS系统运维作业记录,巡视记录备注：电缆沟专项巡视；测温记录备注：电缆沟电缆专项测温
主变冷却电源自投功能试验,一季度1次；每年的3、6、9、11月20日,主变压器冷却电源自动投切试验标准化作业指导卡,需在PMS3.0系统运维作业-定期试验及轮换-主变冷却电源自投功能试验中作好记录,各运维站请提前一周上报自投试验计划至中心
微机防误装置及其附属设备（电脑钥匙、锁具、电源灯）维护、除尘、逻辑校验,每年2月、8月20日,微机防误装置及其附属设备（电脑钥匙、锁具、电源）维护、除尘、逻辑校验标准化作业指导卡、微机防误装置检查记录薄（纸质）,需在PMS3.0系统运维作业-设备维护-微机防误装置及其附属设备（电脑钥匙、锁具、电源灯）维护、除尘、逻辑校验中作好记录,在每年的春检和秋检前开展
强油风冷的变压器冷却系统冷却器的工作状态轮换切换；自然油循环风冷变压器冷却系统工作状态轮换切换,一季度1次；每年的3、6、9、11月20日,强油风冷变压器冷却系统工作状态轮换切换标准化作业指导卡；自然油循环风冷变压器冷却系统工作状态轮换切换标准化作业指导卡,"需在PMS3.0系统运维作业-定期试验及轮换- 
1、强油（气）风冷、强油水冷变压器冷却器切换试验或2、油浸风冷变压器冷却器切换试验作好记录",各运维站请提前一周上报切换试验计划至中心，各站根据各自制定的冷却器轮换周期表开展，自然循环且主变冷却器为自动控制的站，每季度需手动启动冷却器进行试验
事故照明切换试验,2/5/8/11月20日,变电站事故照明试验检查标准化作业指导卡,需在PMS3.0系统运维作业-定期试验及轮换-事故照明定期轮换试验中作好记录,/
设备熄灯巡视,每月21日,/,PMS3.0系统巡视管理中作好设备熄灯巡视记录,迎峰度冬、迎峰度夏保电期间按照上级规定执行
工作票统计、装订,每月21日,/,/,每月25日前各运维站签审后交回中心安全专责处（包晓霞）
全测蓄电池电压,每月22日,/,需在PMS3.0系统运维作业-设备带电检测-蓄电池电压检测（普测）中作好记录，并在登记信息中进行记录登记,纸质的蓄电池检测记录作为运维人员现场抄录时使用，可不用保存
开关柜地电波检测,每年7月22日,开关柜地电波检测标准化作业指导卡、安全交底、检测报告（纸质）,需在PMS3.0系统运维作业-设备带电检测-地电波检测中作好记录,具体时间按照每月下发的带电检测工作计划执行；（陈家桥、玉屏、圣泉、铜梁、楠竹山、海棠站需开展）
开关防拒动报表,每月23日,开关防拒动报表电子版,统计上月23日至本月22日期间有开关分、合的最后日期,变电站当值运维人员填报后，当天OA上报中心运维专责处（戚瑞祥）
主变（高抗）铁芯接地电流测量,每季度1次  1/4/7/10月24日,变压器铁芯、夹件接地电流测试标准化作业指导卡、安全交底、检测报告（纸质）,需在PMS3.0系统运维作业-设备带电检测-主变：变压器铁芯与夹件接地电流检测（高抗：油浸式电抗器铁心与夹件接地电流测试）中作好记录,具体时间按照每月下发的带电检测工作计划执行
防洪防汛物资、设施检查、试验,每年3月25日, 防汛物资、设施检查、试验、维护标准化作业指导卡、防洪防汛检查记录簿,纸质及PMS3.0系统运维作业-设备维护-排水系统、防汛物资及设施检查中作好记录,自制防汛物资台账，根据中心制定的防汛抗旱工作方案，中心提前通知各站执行执行；
设备红外普测 ,每周周三进行；,红外测温标准化作业指导卡、设备异常热点跟踪表、红外检测设备异常分析报告、异常设备测温原始图片,需在PMS3.0系统运维作业-设备带电检测-红外测温中作好记录，并附件上传测温记录电子版（五通）,每次工作后将设备异常热点跟踪表、红外检测设备异常分析报告、异常设备测温原始图片发中心专责，特巡所开展的测温无需指导卡，但需作PMS3.0系统设备测温记录，并附件上传测温记录电子版（五通），上传异常温升分析报告（仅发现的第一次需上传），异常热点跟踪表（每次均须上传）
安防、技防设施检查维护,1/4/7/10月25日,安防设施检查、维护标准化作业指导卡、检查保安的巡视记录、维保单位的维护修试记录,纸质及PMS3.0系统运维作业-设备维护-安防设施维护中作好记录,纸质巡视记录保存在保安处；
在线监测装置检查维护,1/4/7/10月25日,在线监测装置检查维护标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-在线装置维护中作好记录,参考五通资料编制台账及检查表
高压带电显示装置检查维护,每月27日,高压带电显示装置检查维护标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-高压带电显示装置维护中作好记录,/
急救箱药品检查、清理、补充,每月27日,/,需在PMS3.0系统运维作业-其他-急救药品检查中作好记录,/
防小动物设施检查、维护,每月28日,防小动物设施检查维护标准化作业指导卡；防小动物检查卡；防小动物设施台账（纸质）,需在PMS3.0系统运维作业-设备维护-防小动物设施维护中作好记录（需在备注中注明某某公司防鼠队伍配合运维人员开展）,可结合防鼠队伍一并开展，如防鼠队伍28日都未到站，则站内当天必须开展
UPS系统试验,半年1次，每年的5月、11月28日,UPS电源自动投切试验标准化作业指导卡,需在PMS3.0系统运维作业-定期试验及轮换-UPS系统切换试验中作好记录,/
站用直流系统备用充电机启动试验,半年1次，每年的5月、11月28日,直流系统中的备用充电机启动试验标准化作业指导卡、操作票,需在PMS3.0系统运维作业-定期试验及轮换-备用充电机启动试验中作好记录,各运维站请提前一周上报启动试验计划至中心，上半年备用充电机代220V1段母线负荷，下半年备用充电机代220V2段母线负荷
安全工器具、接地线检查、维护并将下月到期工器具送校,每月29日（如二月份则最后一天）,安全工器具检查标准化作业指导卡、安全工器具检查记录簿,需在PMS3.0系统运维作业-设备维护-安全工器具检查中作好记录,台账、试验报告单
二次设备清扫（包括设备端子箱、汇控箱、保护屏、测控屏，主变充氮灭火控制屏除外）,每月1、3、5日,二次设备清扫标准化作业指导卡,需在PMS3.0系统运维作业-设备维护-二次设备清扫中作好记录,在PMS3.0系统备注中注明清扫的具体电压等级设备（各站根据站内安排分值开展）
"检查整理站内仪器仪表（定值摆放，检查仪器仪表电池的完好性，是否在校验周期内）,整理备品备件室",每月月末最后一天,/,需在PMS3.0系统运维作业-设备维护-仪器仪表维护保养中作好记录,发现仪器仪表电池问题，校验即将到期或未进行校验的仪器仪表进行统计上报
本月周期维护工作记录完成情况核对,月末最后一天,/,/,由月末最后一天当值人员负责检查本月本周期维护工作记录填写情况，并在本月无需开展的周期维护项中划“/”
